plant_name,light_time_day,red_light,blue_light,far_red,water_times (times/day),air flow ,growth_yield/m^2 (kg),Active Agents (%),Growth Time (weeks),accuracy,temp_min,temp_max,EC_min,EC_max,humidity_min,humidity_max,ph_min,ph_max
lavender ,16,47,33,5,2,medium,1.1,2.55,12,88.0,20.0,23.0,1.7,1.7,46.0,51.0,6.3,6.3
lavender ,16,68,20,11,3,low,1.3,2.4,10,86.0,20.0,26.0,2.7,2.7,41.0,64.0,6.2,6.2
lavender ,12,53,40,13,1,high,1.1,2.5,12,84.0,18.0,27.0,1.6,1.6,41.0,53.0,5.9,5.9
lavender ,12,54,29,18,1,Moderate,0.9,2.45,12,84.0,19.0,23.0,2.4,2.4,47.0,51.0,6.1,6.1
lavender ,16,59,28,12,1,High,1.1,2.6,12,85.0,21.0,26.0,2.6,2.6,46.0,55.0,6.1,6.1
lavender ,16,40,28,9,2,Low,0.7,2.3,10,84.0,20.0,25.0,1.6,1.6,48.0,64.0,6.3,6.3
lavender ,14,61,28,17,2,Low,0.9,2.8499999999999996,12,82.0,21.0,23.0,2.3,2.3,49.0,61.0,6.0,6.0
lavender ,12,56,23,11,3,High,1.5,2.75,10,84.0,19.0,25.0,2.0,2.0,42.0,56.0,6.2,6.2
lavender ,14,44,32,16,3,Moderate,0.9,2.65,12,87.0,21.0,26.0,2.7,2.7,46.0,63.0,6.1,6.1
lavender ,16,47,33,0,1,High,0.6,2.3,10,86.0,20.0,24.0,2.3,2.3,40.0,53.0,5.8,5.8
lavender ,14,54,28,7,3,Medium,1.3,2.55,12,84.0,18.0,26.0,2.8,2.8,41.0,55.0,6.0,6.0
lavender ,16,50,31,15,3,Low,0.9,2.9,10,87.0,21.0,25.0,2.5,2.5,43.0,51.0,6.2,6.2
lavender ,12,54,28,12,2,Moderate,0.9,2.7,12,83.0,18.0,24.0,2.8,2.8,44.0,61.0,5.8,5.8
lavender ,16,42,21,16,2,Low,1.3,2.3,11,83.0,18.0,24.0,1.8,1.8,49.0,55.0,6.2,6.2
lavender ,16,44,29,15,3,Moderate,0.7,2.55,12,86.0,19.0,25.0,2.0,2.0,42.0,58.0,6.2,6.2
lavender ,12,47,38,13,3,Moderate,1.0,3.0,10,87.0,18.0,25.0,1.6,1.6,40.0,62.0,6.3,6.3
lavender ,14,40,38,2,3,Medium,1.5,2.8,11,85.0,20.0,26.0,2.1,2.1,46.0,59.0,5.9,5.9
lavender ,14,48,21,2,2,Low,0.8,2.5,10,81.0,18.0,25.0,1.7,1.7,43.0,60.0,6.2,6.2
lavender ,16,48,34,2,1,Medium,1.2,2.8,11,86.0,20.0,23.0,1.9,1.9,49.0,55.0,6.0,6.0
lavender ,12,67,25,13,3,Low,0.7,2.9000000000000004,11,85.0,20.0,26.0,1.8,1.8,48.0,59.0,6.0,6.0
lavender ,14,67,34,12,1,Moderate,1.5,2.15,10,87.0,21.0,24.0,2.0,2.0,43.0,62.0,6.2,6.2
lavender ,14,61,22,17,2,High,1.3,2.8,10,82.0,18.0,24.0,1.5,1.5,45.0,63.0,6.1,6.1
lavender ,16,57,36,15,1,High,1.0,2.35,11,83.0,21.0,25.0,2.2,2.2,41.0,63.0,6.3,6.3
lavender,16,50,30,5,3,moderate,1.5,1.5,8,83.65,22.0,22.0,1.7,1.7,61.0,61.0,6.0,6.0
lavender,14,55,35,6,4,moderate,1.8,1.8,9,83.65,23.0,23.0,1.9,1.9,62.0,62.0,6.2,6.2
lavender,16,48,32,7,2,high,1.6,1.5,7,83.65,25.0,25.0,2.0,2.0,60.0,60.0,6.1,6.1
lavender,15,50,40,5,3,low,1.7,1.6,8,83.65,23.0,23.0,1.6,1.6,65.0,65.0,6.3,6.3
lavender,18,53,33,8,4,high,1.5,1.7,9,83.65,24.0,24.0,2.1,2.1,58.0,58.0,6.2,6.2
lavender,15,60,25,4,3,moderate,1.4,1.5,7,83.65,23.0,23.0,1.7,1.7,60.0,60.0,6.3,6.3
lavender,17,50,30,6,3,moderate,1.5,1.6,8,83.65,22.0,22.0,1.8,1.8,59.0,59.0,6.1,6.1
lavender,16,55,40,5,4,low,1.6,1.7,7,83.65,24.0,24.0,1.9,1.9,59.0,59.0,6.0,6.0
lavender,16,50,32,7,2,high,1.4,1.5,9,83.65,23.0,23.0,1.8,1.8,60.0,60.0,6.3,6.3
lavender,14,45,38,6,3,moderate,1.8,1.6,8,83.65,26.0,26.0,2.0,2.0,64.0,64.0,6.1,6.1
lavender,18,50,35,5,3,low,1.5,1.5,7,83.65,23.0,23.0,1.2,1.2,60.0,60.0,6.2,6.2
lavender,15,52,28,4,2,high,1.7,1.6,9,83.65,24.0,24.0,1.4,1.4,58.0,58.0,6.0,6.0
lavender,17,50,30,5,3,moderate,1.5,1.7,7,83.65,22.0,22.0,1.1,1.1,63.0,63.0,6.2,6.2
lavender,16,55,33,6,3,low,1.6,1.5,6,83.65,21.0,21.0,1.5,1.5,61.0,61.0,6.3,6.3
lavender,14,55,40,7,4,moderate,1.7,1.6,8,83.65,24.0,24.0,1.3,1.3,62.0,62.0,6.0,6.0
lavender,16,50,35,5,3,high,1.4,1.5,9,83.65,22.0,22.0,1.4,1.4,60.0,60.0,6.2,6.2
lavender,17,52,30,4,2,moderate,1.6,1.5,7,83.65,23.0,23.0,1.2,1.2,65.0,65.0,6.0,6.0
lavender,16,53,33,5,4,low,1.5,1.6,9,83.65,25.0,25.0,1.4,1.4,58.0,58.0,6.2,6.2
lavender,16,50,32,6,3,high,1.5,1.5,8,83.65,23.0,23.0,1.0,1.0,60.0,60.0,6.1,6.1
lavender,15,55,38,7,4,moderate,1.7,1.6,6,83.65,24.0,24.0,1.6,1.6,59.0,59.0,6.3,6.3
lavender,16,50,30,5,3,moderate,0.5,1.5,4,83.65,22.0,22.0,1.3,1.3,60.0,60.0,6.0,6.0
lavender,14,55,35,6,4,moderate,0.6,1.8,5,83.65,24.0,24.0,1.4,1.4,58.0,58.0,6.2,6.2
lavender,16,48,32,7,2,high,0.5,1.5,4,83.65,23.0,23.0,1.5,1.5,62.0,62.0,6.1,6.1
lavender,15,50,40,5,3,low,0.6,1.6,5,83.65,25.0,25.0,1.1,1.1,60.0,60.0,6.3,6.3
lavender,18,53,33,8,4,high,0.5,1.7,5,83.65,21.0,21.0,1.5,1.5,55.0,55.0,6.2,6.2
lavender,15,60,25,4,3,moderate,0.4,1.5,4,83.65,23.0,23.0,1.2,1.2,65.0,65.0,6.3,6.3
lavender,17,50,30,6,3,moderate,0.5,1.6,5,83.65,22.0,22.0,1.3,1.3,62.0,62.0,6.1,6.1
lavender,16,55,40,5,4,low,0.6,1.7,4,83.65,24.0,24.0,1.4,1.4,59.0,59.0,6.0,6.0
lavender,16,50,32,7,2,high,0.4,1.5,5,83.65,23.0,23.0,1.2,1.2,60.0,60.0,6.3,6.3
lavender,14,45,38,6,3,moderate,0.6,1.6,5,83.65,26.0,26.0,1.3,1.3,64.0,64.0,6.1,6.1
lavender,18,50,35,5,3,low,0.5,1.5,4,83.65,23.0,23.0,1.3,1.3,60.0,60.0,6.2,6.2
lavender,15,52,28,4,2,high,0.6,1.6,5,83.65,24.0,24.0,1.4,1.4,58.0,58.0,6.0,6.0
lavender,17,50,30,5,3,moderate,0.5,1.7,4,83.65,22.0,22.0,1.5,1.5,63.0,63.0,6.2,6.2
lavender,16,55,33,6,3,low,0.6,1.5,3,83.65,21.0,21.0,1.1,1.1,61.0,61.0,6.3,6.3
lavender,14,55,40,7,4,moderate,0.6,1.6,5,83.65,24.0,24.0,1.5,1.5,62.0,62.0,6.0,6.0
lavender,16,50,35,5,3,high,0.4,1.5,5,83.65,22.0,22.0,1.2,1.2,60.0,60.0,6.2,6.2
lavender,17,52,30,4,2,moderate,0.5,1.5,4,83.65,23.0,23.0,1.3,1.3,65.0,65.0,6.2,6.2
lavender,16,53,33,5,4,low,0.5,1.6,5,83.65,25.0,25.0,1.4,1.4,58.0,58.0,6.3,6.3
lavender,16,50,32,6,3,high,0.5,1.5,4,83.65,23.0,23.0,1.2,1.2,60.0,60.0,6.0,6.0
lavender,15,55,38,7,4,moderate,0.6,1.6,3,83.65,24.0,24.0,1.3,1.3,59.0,59.0,6.2,6.2
lavender,15,61,35,3,4,low,0.9242536182966128,1.9393212145562821,3,82.88977130543032,20.765807267736708,25.238681603829225,0.8118047539252246,1.6806645240177263,68.75867619632393,64.96934606965291,6.224480617034029,6.2403441869683425
lavender ,17,51,35,-1,3,High,1.5681928002628378,3.2679556644496053,10,85.45109778472428,17.225122390855475,23.659903795631358,1.6056443285818125,2.5390846877840407,49.887540800460314,60.14331553449599,5.7658124861647,6.3536442559244275
lavender,16,78,38,7,4,low,1.3733672226785094,1.7381440566947084,4,83.44593658684701,25.329003800652394,24.89604792826199,1.0075173343947958,1.629509853637171,63.30595746836696,58.5916743402736,6.155171039592583,6.077013986465509
lavender,14,57,25,5,4,low,1.026774412759864,1.7606712867355927,6,83.41195836270799,23.743055624017927,23.60792381746677,2.3735822090025063,1.6712629856129306,61.801089211749755,59.94060814320968,6.256304728797616,6.047981674938793
lavender,15,60,42,8,4,moderate,0.8576030217187485,1.7310793057566605,4,83.58403133970896,21.26822635217267,25.670514751090995,1.954321328784798,1.736688483291954,59.799462298864846,57.24621974402212,6.135379977055466,6.161716947704683
lavender ,10,59,24,23,1,High,0.6305817201708276,2.126276677732405,10,85.98076510462485,19.04059325925644,25.983998881807796,2.3098875006171236,2.074653002376685,37.724267874502715,55.2351504035792,6.229180245004819,5.989588850128701
lavender,17,56,34,3,3,High,1.1959802590332902,1.160363376468757,4,84.13904193846513,20.94521091460189,22.70346741133104,1.3993709840423618,1.2616099812981714,63.72719197730247,64.16735405524379,6.123730864866082,6.398707410262215
lavender ,13,50,38,12,3,Medium,0.627494970169895,2.5059428560501398,10,85.14637913457487,18.593287374691307,25.80395648809667,2.3855322254983986,2.5040272860226067,59.52018143231408,62.480307816386606,5.974191687225989,6.354005187960357
lavender ,14,50,27,11,3,medium,1.3635785134788228,2.007173115967748,14,84.01892583806242,15.824926810479946,25.49718217527789,1.639015365664651,1.5048815386452876,51.1145579929854,60.24644218310294,5.859268102161778,6.0504593473529775
lavender ,12,70,33,24,1,Low,0.9522185055954637,3.4062108520628467,12,84.70749052275849,19.496254576666697,29.043441782226015,2.2166738622722164,1.8769596036699738,49.2201457464623,59.16021710417283,6.486902581547221,6.0110917763649825
lavender ,14,71,35,12,2,high,1.595519908054294,3.251714961758344,8,85.90280737313756,20.201783881365447,20.62217289186536,1.2712334712626434,1.3137058536327126,59.19911380712845,48.96755777749183,6.10902585706485,6.022424287341959
lavender ,18,44,33,6,3,moderate,0.33235998188372823,1.7601200019204797,9,85.35968333573217,19.834287084154532,22.18654813958362,1.5791034318697672,1.0349736548657693,64.72520750126883,61.570249886402415,7.541081427023772,6.0519137555833336
lavender ,16,48,28,13,3,Moderate,1.6112089827009077,3.283424758157652,12,83.95112671782613,15.92015038505345,28.24009353000559,1.5097606909975503,2.8541432944730776,47.35163649640172,52.56269938179865,5.990434441535522,5.853240658922682
lavender,16,62,39,-1,3,Medium,0.8298895911363414,2.073840403189248,10,88.10509529038146,22.0343251642576,21.12320443912709,2.652127270375807,1.4430336922812337,64.57632596377074,59.16458149095938,7.66480149026571,6.163662468502177
lavender,17,51,42,12,4,high,0.7345893826271324,1.6430423810301078,9,83.24831137247833,17.32679004662031,22.878019515683867,1.7045696594131172,1.65203387915136,64.13686913948158,61.52105608734234,5.861109382447603,7.460654428661774
lavender ,17,58,36,11,3,Moderate,0.7557966757591104,1.8429986743477431,12,79.08028843634665,21.315845004468365,23.714374310343157,1.0573881290054286,1.643927361463109,44.15219027494741,55.57134467219058,5.995389197558222,6.0023161130525295
lavender ,15,59,23,6,1,high,1.3787645776849013,1.8020444252804406,10,83.80619578225215,21.23871364820459,26.189643740242715,1.0198661459182108,1.2248304008061042,52.736689407442455,65.8631716601877,7.6081778832922256,6.117039547723178
lavender ,17,48,34,10,2,low,0.5622424688030558,1.9864983071158913,11,84.13909905794141,18.729829764936756,26.77288336481852,1.3361481831598985,1.2280742844742267,58.32262083117782,38.32112920758669,6.309213661259967,6.261403459268736
lavender ,14,66,43,24,2,High,1.980848595692731,1.9085073159006185,11,86.89765702247101,21.6427038568165,22.872795131765816,1.1290326369897288,1.8579305342573038,42.620079570620724,42.18147155012506,-0.8989471418266102,6.096467415468371
lavender ,18,56,26,4,3,High,0.563649758610533,1.752427856969455,8,83.4503668797636,19.690156997596446,22.014044823086444,1.4641612342748869,1.582782131149044,64.78454627769537,61.267057057363395,6.52311210333253,6.169079327551255
lavender,16,62,36,8,2,medium,1.4732924013222226,1.832484154521403,3,83.10672239015925,20.857199365298285,20.51502716365582,1.5588400614234643,1.3283219488660414,53.27925165557065,63.1512979258014,6.2128620935688055,6.169361131621767
lavender,17,56,35,10,4,moderate,1.5003381126471544,2.0592682388729058,5,83.49870311723244,25.2309217467887,27.58961830346422,0.8943684368647596,1.0584873592399464,60.278002030076685,57.62779388168629,5.953762162265437,6.1725961602412145
lavender,18,65,44,8,3,moderate,0.3921816018772878,1.5751256712447397,9,83.82056612063204,23.111513846943893,22.250464695177495,0.93200284709568,1.3604149873441536,66.79096519808091,64.41280378605185,5.736885792532149,6.082881611832149
lavender ,18,42,39,13,3,moderate,0.5228762302490237,3.0225705781067145,11,85.75625696480279,17.452016723653927,26.66474433362704,1.1372694124277145,2.1331713845998563,46.51425956197025,62.34677759444963,7.263281428514818,6.263750274344106
lavender,12,57,51,4,4,low,1.4583445155297974,1.697831173377189,9,83.76805300657468,25.342802399441847,25.593390319681454,1.405192915439079,1.0699815470269607,58.85908897493227,64.0949572322878,6.242732183392372,6.308434562256402
lavender,17,46,32,8,3,high,0.4653159644322272,1.5701648170006275,12,83.45139696382876,20.23331704140823,20.23647479053626,1.2974064755908332,1.369913083702659,66.82661614223008,59.73438366323548,7.751964420366971,6.064518030460432
lavender,15,60,34,9,2,moderate,0.9160321898139925,1.939432505217727,4,83.1373116299454,24.46280689044933,23.548583806570573,1.0666775512821207,1.549412025658789,67.05224010380854,56.884192878391985,5.800021809992285,5.8686738500514215
lavender,19,63,35,3,3,low,1.3197707297652586,1.75449511724827,10,83.1393527721239,22.58775473171544,24.873257310602057,1.3480301698614212,1.4418910233005142,59.62357775315321,62.51894445134908,7.602602232502225,6.195280413313882
lavender ,10,48,38,12,1,moderate,1.9821305378282723,1.988352204794993,12,80.67525218599096,18.90026394803925,27.432407211849483,1.5598186887597996,3.2718916580570347,47.167352716367105,62.84026759924579,6.883104499849068,6.006483560061669
lavender ,15,52,32,22,3,low,1.5094148971147432,3.070175667216416,11,85.94815222213262,21.780753653041977,26.02644751597588,1.2419916869137735,1.2790191400213573,42.915518533408935,64.78324845240466,6.0513132667457885,6.146647056718243
lavender,17,63,30,7,3,moderate,0.465037104719055,1.9425608926442877,9,83.4153203938286,20.04279730235259,22.31764343938742,1.4965629315390163,1.566812697445172,67.41938937041047,55.54208187362837,6.5406908940992,6.9133686997905865
lavender ,16,48,24,4,3,High,1.7600244435972074,1.5606364811864137,14,87.2231471140145,18.098455597607224,23.65422345093726,1.7079079134374184,2.9857703560409785,36.22785554445762,57.39743393427437,8.166948515594509,6.272667914247448
lavender ,17,76,33,20,2,Moderate,1.0734700447271044,2.632364135121283,13,85.10348866358142,16.71174764100085,26.56283132713364,2.014374842715648,2.2740147752046207,46.55705445528703,49.44873202537554,6.055905037184111,5.851462027123887
lavender ,17,56,32,19,1,low,1.3246258146859813,2.5956668778754586,14,86.59009579682379,18.2162640901487,24.69629337258283,1.7024500856051383,2.9440611207437897,41.48998326771462,60.82923491369842,5.985890177306182,5.9624472488040325
lavender ,14,47,28,5,1,moderate,0.2644827073326197,1.7158106030877502,4,83.601878954588,19.629313530775597,26.50736327147777,1.2431070715965475,1.461588256210666,41.910763755478676,64.21432045236968,6.224847948845597,5.972505185689172
lavender ,15,53,20,24,3,High,1.2139644542736656,2.961790093343088,13,84.90727510085094,16.781910194289956,21.4641846188324,2.3812877033438204,1.6416228213517072,45.821845363462,59.25288812195118,6.528992627280304,6.163139485665044
lavender ,14,50,31,16,1,medium,1.3240475292775309,2.492868767473682,13,86.04750264047742,17.035218584035874,24.225467658688434,2.1878527480246257,2.537010905174371,45.37471142145281,62.891828449541734,5.946399097270355,6.103496103520294
lavender,17,66,25,3,2,Medium,0.32626724453103295,1.6744342552454632,11,83.79780922051573,20.076598906999568,23.27561040609094,1.0543052808497926,2.064018142615739,38.10561068080097,53.59685359244568,6.194164897662118,5.996568326002335
lavender ,14,53,32,6,1,High,0.6612813380839163,2.582364502305539,10,80.11348803093736,18.302334251464302,20.53431701112789,1.3724586192606871,2.2638878566587968,47.01840789476644,50.16967108740178,6.137250452525163,5.954109398616893
lavender ,13,50,36,22,1,Low,1.297384169703561,2.7090663720545245,10,86.76870223734566,18.491831838672734,24.41442140058689,1.1261181576578303,1.2091149777227277,39.73350614051668,55.665669514522165,7.541059159039664,6.140626295563548
lavender ,12,45,32,15,2,low,0.49132737448409836,1.4409333949903687,11,82.87499689421358,19.48799954030342,23.195810721845866,0.9564619231737335,1.0039748034934421,46.36312357807001,58.56302208718552,7.608915341227455,6.518876865333791
lavender ,13,63,22,16,2,Low,1.3145777325507622,1.6948394358396293,13,85.93605126376448,20.666689504686996,22.61704874598218,2.0580211493988214,2.0539580508668314,42.2980181316894,58.197986195053744,5.5768608915055315,5.9177433388725005
lavender ,16,54,29,17,1,Medium,1.6527558684045416,1.7559292162332762,12,83.87104714720188,22.60539542418679,27.231769653216116,2.025757262179978,1.8054501562256402,49.10517933015594,59.94028972854461,5.733398540381187,6.107104129585474
lavender,16,47,37,5,2,low,0.8474483905908746,1.8233574378574349,6,83.29061808217044,23.289135426030725,24.27894996225131,1.1295101847362563,1.6456951907731576,61.86386753451066,62.86833337400498,7.411923062278425,6.147663326108182
lavender ,16,83,33,2,2,high,0.7799186188392293,3.1325814597485406,15,86.39019260624987,20.818753963306854,28.06646963353637,2.1410243002572766,2.1846182136476426,52.85322394818027,65.0876243716363,6.382587737010623,5.7846893183486285
lavender,18,51,25,10,2,high,1.4247194898868296,1.399126281694251,5,83.47313519090076,22.813810916211793,21.109328936731938,1.096894012296949,0.6371492806251591,65.21547846582675,55.92180885789492,8.386988005932627,6.350638390561288
lavender,18,60,27,6,2,moderate,0.6282226411223673,1.8238633618007223,11,83.67357319721694,22.404918916559094,25.064242210433694,1.0941136546006691,1.4835418548928418,59.275407641279145,61.0747716899874,5.909491266696351,6.084771716132533
lavender ,12,60,43,13,2,moderate,0.14631013788245106,3.3858568702101084,11,83.99141293259092,16.341582551684965,27.10878210863807,1.5946075749032924,2.392794347456136,64.42651262968842,56.4588513704065,6.152851898918597,6.21669866521086
lavender,17,61,40,0,4,low,1.512938385044612,1.9108706404338702,2,82.81183463052636,24.521639413492935,22.81122365722593,1.157439141647918,1.3314869965847937,62.75473144751651,61.55497809522035,8.017064140093703,6.972890989239241
lavender ,15,75,35,16,3,Low,0.49008217818036015,1.4884893107085928,8,83.38470060607324,21.306482217350883,28.455349760073393,1.4193304096248003,1.8970556910613159,53.29988108100456,59.19575414416602,6.289056904282665,5.84539846747193
lavender,13,50,45,4,3,low,1.7615957391506936,2.9436333759996858,12,86.5902469736403,24.993759880864886,27.391859394734823,1.6045468453982183,2.036457952666247,58.02265816665772,60.79647648104163,5.607891577272674,6.037681734090742
lavender ,18,57,41,7,3,Medium,0.792277053976609,1.913855591699267,10,85.43093911012588,17.94014785075973,24.735354047975747,2.854982248949464,2.644200799634815,47.681785439890476,63.83612743541493,6.1917006343544685,6.093835891417001
lavender ,13,55,42,16,1,High,1.6355220949584122,2.394645660608316,11,88.55211883903549,17.939199318528658,22.05094379875562,2.178419050363261,2.2063875807193445,49.240232426851776,48.62053231776545,5.659158086499294,6.014752081558322
lavender ,12,63,25,13,3,Medium,1.3750985670085296,2.716506538198645,11,84.53177025018392,17.453666315078763,27.090258133125378,3.016251930299992,2.2701804593694352,51.95555867722217,56.69277103860404,6.302863561483698,6.229687259092845
lavender ,12,63,28,9,3,high,1.723063571428051,1.642998924201362,8,84.44941787345134,18.21455185818391,26.352148831366776,0.8271037742102033,2.0404983085258674,62.97230041840055,55.864653188011744,5.888144718285464,5.875330339286401
lavender ,13,50,31,13,1,medium,0.47165971943355833,3.183127754396091,13,79.68830203322192,16.26385405087659,22.699574362811415,2.752842495520766,1.5352859447582101,52.07285395270483,55.09533422331157,6.06209082072142,6.235992612227589
lavender ,16,51,33,8,2,high,0.9339955644261608,2.048576623434713,8,85.25390863400997,19.253021831963864,20.34571260287827,1.7240931546801495,2.6860697861004366,44.910606751127425,57.6592822578378,6.405382224235556,6.256415711466794
lavender,15,55,31,3,2,Low,1.6483129528984688,1.4260851365486635,9,83.99378585595709,18.502485879002915,23.046883132176838,1.5741011770726905,2.579666507858482,59.71557540209471,56.85340973293077,6.367152053757739,6.236956473956751
lavender ,14,68,23,22,1,Low,0.24399683650794818,2.2162549054833383,10,85.06391261948133,19.307635329961002,26.475840166467822,2.5138136455912785,2.8491828977272284,41.23037767614597,59.24638761768759,6.559602510155301,5.805876848561338
lavender,14,61,41,4,4,Medium,0.36979232044951765,1.6327245212781099,11,85.89847298055253,18.121082561965032,27.75020027643636,2.5761334718017967,2.5327329698154477,68.48674861804177,60.4693774063105,7.6184674950256595,6.114205289815247
lavender,16,64,37,-1,2,high,0.9798269946207295,1.690123638505547,10,83.50487419656251,20.31966824752647,26.819777351288057,1.2672498847015226,1.7290015843816045,61.731303500314,66.50030151295242,7.2890623448847265,6.125603389380527
lavender ,15,60,18,6,3,moderate,0.8009949906676227,3.3112046503023738,9,83.98822724561902,20.82240092986672,23.609662396696937,1.2051180444194007,2.621758507583147,44.280417602466855,63.75150039892911,6.200931177315614,6.192875934526569
lavender ,18,57,37,13,2,Medium,0.6930151269497006,2.148153135374604,12,83.58937691515737,17.60861687222041,23.871033688351538,1.7390798157888985,3.075854735855458,48.37931785830613,56.913553845572956,6.193146457767726,6.274369737088038
lavender ,10,52,32,3,2,medium,0.21076854637708536,1.6588508103160704,14,83.08914549629488,18.88981181618923,22.842368849026123,1.7357447270745863,2.3604603551488172,43.246935044146454,57.52447426049204,7.212588610616341,6.222267661091744
lavender,18,48,43,5,2,moderate,1.6059717232963209,1.8390520473874892,13,83.50116395921106,23.044541988764852,20.043166055967447,1.1270653557291581,1.6018572802043458,60.80552268724141,64.51791989296952,6.030503951993308,6.121761788966821
lavender,17,61,27,2,4,high,1.7167743756194427,1.8908980741850219,4,83.02550427099015,20.53484292902524,22.050116347636866,1.0065096550524946,1.7088465339016117,62.02276811574851,54.74939687762418,6.071145093307237,6.06819339200197
lavender,18,71,32,4,3,moderate,1.4716683236542485,1.6709137505001916,9,84.46107849289918,20.993803324404908,23.65686941474562,2.0967145370161573,2.239159626375969,60.978489034123484,56.8451797192756,6.049459254703654,6.25755285757334
lavender ,12,57,16,21,3,High,0.7230091080117155,2.1647812245879194,13,82.78348848365162,16.795189645524953,25.775184052812797,2.956063464774505,2.357860984392629,51.04691437529287,42.78560650462324,6.017889895242741,5.763829229203412
lavender ,15,71,23,12,1,medium,0.5605008288597196,2.685726685663094,11,78.2604058385071,15.471475590167863,26.286844584895825,1.7189156979720503,2.5831552368636927,48.96287916583969,49.643610615951154,6.3900815024365665,6.31478859379306
lavender ,16,56,40,15,3,High,0.3620579860449349,1.8676657441633764,7,85.14970540401295,17.72415331514959,26.855048045400373,1.3566678432769104,2.000489052232226,41.34369518585319,57.95109671061594,6.182335587625086,6.053347518090774
lavender,15,71,40,6,3,moderate,0.827017984361372,1.807595217727318,5,82.75701804657045,22.093530045591077,24.398961515644086,1.3200871870345956,1.7656123614314696,68.63716935074011,62.95232327749129,6.379031742706386,7.335164169271961
lavender,15,67,40,6,3,moderate,0.5901382933184464,1.7911285909507477,3,83.60439312071135,20.49430966437121,23.805490445930253,1.4531801093055743,0.9241205327131514,58.325219940531746,67.97890394853715,6.33742376276528,6.819414476567103
lavender,19,57,44,-1,3,moderate,1.0252693161292759,1.8185129639788897,8,83.91151869195593,23.757650429285786,22.970769181622405,1.1997652071686034,1.1218555068336182,59.28393825506726,57.59619657003524,6.168497668260972,6.241688264819052
lavender ,16,38,22,17,1,high,1.1713733917823599,2.051874453791485,13,86.35156799813383,19.16232794070986,24.362929419837638,1.2196414088768084,2.3797042488071476,45.58499339779058,43.421268066119175,6.288412058679216,6.225162745562377
lavender,18,53,38,8,3,moderate,0.6150923118646094,1.7541087304426624,8,82.99184852935633,21.609901520801817,26.731525877190666,1.5134536265427383,0.821627964220405,68.50407553790333,65.76376105005812,5.847482428545198,6.13051338595151
lavender,14,78,38,1,4,High,0.6547179684675469,2.0576404159793,7,83.4774460666326,22.794881546391792,24.552929555396222,1.8157277045631979,0.8272049881156801,60.48497649877893,54.89190921150526,6.18031889065753,6.192646548073689
lavender,15,51,30,10,4,low,0.9771527097391013,1.8958480189188536,2,82.84825973481692,22.03012155842833,20.684621593174032,1.0135219460035847,1.1620104445930355,60.82471899946508,52.167997946084,5.975284350338491,6.396653856672765
